constellation_id,Constellation,star_id,Name,galaxy_id,Galaxy
414,Draco,22,Aldhibah,25,Draco Dwarf
415,Draco,22,Aldhibah,78,Spindle Galaxy
416,Draco,22,Aldhibah,79,Spindle Galaxy
417,Draco,22,Aldhibah,84,Tadpole Galaxy
418,Draco,49,Alrakis,25,Draco Dwarf
419,Draco,49,Alrakis,78,Spindle Galaxy
420,Draco,49,Alrakis,79,Spindle Galaxy
421,Draco,49,Alrakis,84,Tadpole Galaxy
422,Draco,51,Alruba,25,Draco Dwarf
423,Draco,51,Alruba,78,Spindle Galaxy
424,Draco,51,Alruba,79,Spindle Galaxy
425,Draco,51,Alruba,84,Tadpole Galaxy
426,Draco,52,Alsafi,25,Draco Dwarf
427,Draco,52,Alsafi,78,Spindle Galaxy
428,Draco,52,Alsafi,79,Spindle Galaxy
429,Draco,52,Alsafi,84,Tadpole Galaxy
430,Draco,58,Altais,25,Draco Dwarf
431,Draco,58,Altais,78,Spindle Galaxy
432,Draco,58,Altais,79,Spindle Galaxy
433,Draco,58,Altais,84,Tadpole Galaxy
434,Draco,80,Athebyne,25,Draco Dwarf
435,Draco,80,Athebyne,78,Spindle Galaxy
436,Draco,80,Athebyne,79,Spindle Galaxy
437,Draco,80,Athebyne,84,Tadpole Galaxy
438,Draco,124,Dziban,25,Draco Dwarf
439,Draco,124,Dziban,78,Spindle Galaxy
440,Draco,124,Dziban,79,Spindle Galaxy
441,Draco,124,Dziban,84,Tadpole Galaxy
442,Draco,125,Edasich,25,Draco Dwarf
443,Draco,125,Edasich,78,Spindle Galaxy
444,Draco,125,Edasich,79,Spindle Galaxy
445,Draco,125,Edasich,84,Tadpole Galaxy
446,Draco,130,Eltanin,25,Draco Dwarf
447,Draco,130,Eltanin,78,Spindle Galaxy
448,Draco,130,Eltanin,79,Spindle Galaxy
449,Draco,130,Eltanin,84,Tadpole Galaxy
450,Draco,133,Fafnir,25,Draco Dwarf
451,Draco,133,Fafnir,78,Spindle Galaxy
452,Draco,133,Fafnir,79,Spindle Galaxy
453,Draco,133,Fafnir,84,Tadpole Galaxy
454,Draco,143,Giausar,25,Draco Dwarf
455,Draco,143,Giausar,78,Spindle Galaxy
456,Draco,143,Giausar,79,Spindle Galaxy
457,Draco,143,Giausar,84,Tadpole Galaxy
458,Draco,147,Grumium,25,Draco Dwarf
459,Draco,147,Grumium,78,Spindle Galaxy
460,Draco,147,Grumium,79,Spindle Galaxy
461,Draco,147,Grumium,84,Tadpole Galaxy
462,Draco,253,Rastaban,25,Draco Dwarf
463,Draco,253,Rastaban,78,Spindle Galaxy
464,Draco,253,Rastaban,79,Spindle Galaxy
465,Draco,253,Rastaban,84,Tadpole Galaxy
466,Draco,293,Taiyi,25,Draco Dwarf
467,Draco,293,Taiyi,78,Spindle Galaxy
468,Draco,293,Taiyi,79,Spindle Galaxy
469,Draco,293,Taiyi,84,Tadpole Galaxy
470,Draco,304,Thuban,25,Draco Dwarf
471,Draco,304,Thuban,78,Spindle Galaxy
472,Draco,304,Thuban,79,Spindle Galaxy
473,Draco,304,Thuban,84,Tadpole Galaxy
474,Draco,307,Tianyi,25,Draco Dwarf
475,Draco,307,Tianyi,78,Spindle Galaxy
476,Draco,307,Tianyi,79,Spindle Galaxy
477,Draco,307,Tianyi,84,Tadpole Galaxy
478,Delphinus,23,Aldulfin,-1,
479,Delphinus,220,Musica,-1,
480,Delphinus,258,Rotanev,-1,
481,Delphinus,286,Sualocin,-1,
482,Capricornus,25,Algedi,-1,
483,Capricornus,56,Alshat,-1,
484,Capricornus,115,Dabih,-1,
485,Capricornus,118,Deneb Algedi,-1,
486,Capricornus,223,Nashira,-1,
487,Pegasus,26,Algenib,49,Little Sombrero Galaxy
488,Pegasus,26,Algenib,61,Pegasus Dwarf
489,Pegasus,26,Algenib,82,Stephan's Quintet
490,Pegasus,36,Alkarab,49,Little Sombrero Galaxy
491,Pegasus,36,Alkarab,61,Pegasus Dwarf
492,Pegasus,36,Alkarab,82,Stephan's Quintet
493,Pegasus,95,Biham,49,Little Sombrero Galaxy
494,Pegasus,95,Biham,61,Pegasus Dwarf
495,Pegasus,95,Biham,82,Stephan's Quintet
496,Pegasus,131,Enif,49,Little Sombrero Galaxy
497,Pegasus,131,Enif,61,Pegasus Dwarf
498,Pegasus,131,Enif,82,Stephan's Quintet
499,Pegasus,155,Helvetios,49,Little Sombrero Galaxy
500,Pegasus,155,Helvetios,61,Pegasus Dwarf
501,Pegasus,155,Helvetios,82,Stephan's Quintet
502,Pegasus,157,Homam,49,Little Sombrero Galaxy
503,Pegasus,157,Homam,61,Pegasus Dwarf
504,Pegasus,157,Homam,82,Stephan's Quintet
505,Pegasus,186,Markab,49,Little Sombrero Galaxy
506,Pegasus,186,Markab,61,Pegasus Dwarf
507,Pegasus,186,Markab,82,Stephan's Quintet
508,Pegasus,189,Matar,49,Little Sombrero Galaxy
509,Pegasus,189,Matar,61,Pegasus Dwarf
510,Pegasus,189,Matar,82,Stephan's Quintet
511,Pegasus,264,Sadalbari,49,Little Sombrero Galaxy
512,Pegasus,264,Sadalbari,61,Pegasus Dwarf
513,Pegasus,264,Sadalbari,82,Stephan's Quintet
514,Pegasus,269,Salm,49,Little Sombrero Galaxy
515,Pegasus,269,Salm,61,Pegasus Dwarf
516,Pegasus,269,Salm,82,Stephan's Quintet
517,Pegasus,273,Scheat,49,Little Sombrero Galaxy
518,Pegasus,273,Scheat,61,Pegasus Dwarf
519,Pegasus,273,Scheat,82,Stephan's Quintet
520,Perseus,28,Algol,62,Perseus A
521,Perseus,81,Atik,62,Perseus A
522,Perseus,198,Menkib,62,Perseus A
523,Perseus,211,Miram,62,Perseus A
524,Perseus,212,Mirfak,62,Perseus A
525,Perseus,214,Misam,62,Perseus A
526,Gemini,30,Alhena,-1,
527,Gemini,64,Alzirr,-1,
528,Gemini,102,Castor,-1,
529,Gemini,163,Jishui,-1,
530,Gemini,190,Mebsuta,-1,
531,Gemini,193,Mekbuda,-1,
532,Gemini,242,Pollux,-1,
533,Gemini,247,Propus,-1,
534,Gemini,301,Tejat,-1,
535,Gemini,319,Wasat,-1,
536,Bootes,34,Alkalurops,-1,
537,Bootes,70,Arcturus,-1,
538,Bootes,161,Izar,-1,
539,Bootes,200,Merga,-1,
540,Bootes,218,Muphrid,-1,
541,Bootes,224,Nekkar,-1,
542,Bootes,277,Seginus,-1,
543,Bootes,324,Xuange,-1,
544,Crater,37,Alkes,-1,
545,Auriga,38,Almaaz,-1,
546,Auriga,100,Capella,-1,
547,Auriga,151,Haedus,-1,
